Date,Year,Month,BDA,Beaver,Meadow,
2018-Mar,2018,3.00,0.100013019,0.086377635,0.100448399,
2018-Apr,2018,4.00,0.291603149,0.38485611,0.387533264,
2018-May,2018,5.00,0.518343491,0.739548569,0.543300054,
2018-Jun,2018,6.00,0.690564529,0.771075086,0.665326377,
2018-Jul,2018,7.00,0.618069456,0.7626074,0.64029842,
2018-Aug,2018,8.00,0.556348935,0.656556982,0.582403581,
2018-Sep,2018,9.00,0.458209463,0.618316688,0.567346878,
2018-Oct,2018,10.00,0.389223151,0.557302362,0.502029727,
2018-Nov,2018,11.00,0.351671125,0.515361015,0.486416213,
2018-Dec,2018,12.00,0.178584882,0.141257322,0.177186814,
2019-Jan,2019,1.00,0.007572326,0.117446149,0.102543211,
2019-Feb,2019,2.00,0.032475243,0.102808728,0.103374288,
2019-Mar,2019,3.00,-0.016434063,0.035216557,0.039771222,
2019-Apr,2019,4.00,0.10648183,0.072536687,0.067779165,
2019-May,2019,5.00,0.427252452,0.29642868,0.327796051,
2019-Jun,2019,6.00,0.697426731,0.704400402,0.617245567,
2019-Jul,2019,7.00,0.711467413,0.785970047,0.678725418,
2019-Aug,2019,8.00,0.640921664,0.702133237,0.648351098,
2019-Sep,2019,9.00,0.561677814,0.687925573,0.620553222,
2019-Oct,2019,10.00,0.49175409,0.595031787,0.56220202,
2019-Nov,2019,11.00,0.406881082,0.52358871,0.50665906,
2019-Dec,2019,12.00,0.078354381,0.163869948,0.154690943,
2020-Jan,2020,1.00,0.065123156,0.132116028,0.12584089,
2020-Feb,2020,2.00,0.21475747,0.136747017,0.18870968,
2020-Mar,2020,3.00,0.071885053,0.138940454,0.189242853,
2020-Apr,2020,4.00,0.303074866,0.223122332,0.27269839,
2020-May,2020,5.00,0.468485193,0.600470581,0.525970852,
2020-Jun,2020,6.00,0.67542396,0.780052813,0.637414008,
2020-Jul,2020,7.00,0.621988849,0.774619597,0.646252151,
2020-Aug,2020,8.00,0.535190294,0.657121369,0.584620558,
2020-Sep,2020,9.00,0.470773273,0.556150174,0.456590822,
2020-Oct,2020,10.00,0.422034469,0.579228502,0.531600715,
2020-Nov,2020,11.00,0.381155873,0.302172944,0.404555738,
2020-Dec,2020,12.00,0.340574103,0.252995654,0.300107149,
2021-Jan,2021,1.00,0.235064079,0.161852542,0.152394219,
2021-Feb,2021,2.00,0.00590451,0.094490126,0.104113151,
2021-Mar,2021,3.00,0.161020791,0.08126044,0.112833827,
2021-Apr,2021,4.00,0.287981677,0.219453002,0.299372901,
2021-May,2021,5.00,0.421886411,0.585555417,0.491168976,
2021-Jun,2021,6.00,0.581574182,0.717769196,0.614305465,
2021-Jul,2021,7.00,0.438647352,0.694092883,0.45302157,
2021-Aug,2021,8.00,0.130077186,0.340494294,0.272740982,
2021-Sep,2021,9.00,0.415393303,0.610433898,0.472977871,
2021-Oct,2021,10.00,0.383426349,0.544509114,0.375042829,
2021-Nov,2021,11.00,0.471947008,0.440397672,0.45438872,
2021-Dec,2021,12.00,0.304089937,0.278665332,0.313005315,
2022-Jan,2022,1.00,-0.033860139,0.056596944,0.056271919,
2022-Feb,2022,2.00,0.063753219,0.056318766,0.069715238,
2022-Mar,2022,3.00,0.43656023,0.1412875,0.255659292,
2022-Apr,2022,4.00,0.614860259,0.417517874,0.438977416,
2022-May,2022,5.00,0.680737014,0.576419377,0.510931182,
2022-Jun,2022,6.00,0.699902017,0.696010314,0.55554001,
2022-Jul,2022,7.00,0.644318631,0.772914713,0.599779305,
2022-Aug,2022,8.00,0.575704491,0.731431056,0.541383142,
2022-Sep,2022,9.00,0.473321129,0.669862084,0.548137475,
2022-Oct,2022,10.00,0.434236789,0.584671107,0.518355216,
2022-Nov,2022,11.00,-0.037144399,0.09180004,0.075339497,
2022-Dec,2022,12.00,-0.0265456,0.060283699,0.057244734,